text,stress_level
I feel very stressed and anxious all the time,High
I am under extreme pressure due to exams,High
I feel mentally exhausted every day,High
I cannot sleep properly because of stress,High
I feel nervous and worried constantly,High
I feel burnt out and emotionally drained,High
I feel overwhelmed with my responsibilities,High
I feel stressed about my future career,High
I feel pressure from studies and expectations,High
I feel mentally tired and frustrated,High
I feel anxious before every exam,High
I feel stressed managing academics and life,High
I feel constant pressure to perform well,High
I feel mentally overloaded with work,High
I feel stressed even during rest time,High
I feel anxious thinking about results,High
I feel emotionally exhausted due to workload,High
I feel worried about failing exams,High
I feel stressed when deadlines approach,High
I feel pressure from parents and teachers,High
I feel mentally drained and unhappy,High
I feel anxious throughout the day,High
I feel stressed balancing multiple subjects,High
I feel pressure to meet expectations,High
I feel overwhelmed by continuous assignments,High
I feel anxious due to competitive environment,High
I feel stressed about placements,High
I feel pressure from academic performance,High
I feel exhausted because of long study hours,High
I feel stressed and restless at night,High
I feel calm and relaxed today,Low
I feel happy and satisfied with my routine,Low
My workload is manageable and fine,Low
I feel peaceful and stress free,Low
I feel confident and motivated,Low
I feel positive about my studies,Low
I feel relaxed after completing tasks,Low
I feel energetic and focused,Low
I feel happy with my progress,Low
I feel calm even during exams,Low
I feel relaxed after meditation,Low
I feel mentally stable and calm,Low
I feel cheerful and optimistic,Low
I feel content with my academic life,Low
I feel relaxed while studying,Low
I feel peaceful and in control,Low
I feel stress free and balanced,Low
I feel calm after taking breaks,Low
I feel happy completing assignments,Low
I feel satisfied with my efforts,Low
I feel slightly worried but can manage,Medium
I feel some pressure but I am handling it,Medium
I feel concerned about my future,Medium
I feel tense sometimes but not always,Medium
I feel nervous before exams but okay later,Medium
I feel stressed but coping well,Medium
I feel pressure during deadlines but recover,Medium
I feel anxious occasionally,Medium
I feel workload stress but manageable,Medium
I feel mentally tired but hopeful,Medium
I feel pressure but stay motivated,Medium
I feel nervous during presentations,Medium
I feel worried but confident,Medium
I feel stressed but take breaks,Medium
I feel pressure during exams but okay,Medium
I feel anxious but supported by friends,Medium
I feel overwhelmed sometimes but recover,Medium
I feel moderate stress due to studies,Medium
I feel concerned but optimistic,Medium
I feel pressure but maintaining balance,Medium
I feel stressed during tests but relax later,Medium
I feel workload pressure but coping,Medium
I feel anxious during results time,Medium
I feel mentally tired sometimes,Medium
I feel pressure but motivated to improve,Medium
I feel stressed occasionally,Medium
I feel exam stress but manage well,Medium
I feel pressure but stay calm,Medium
I feel anxious but not overwhelmed,Medium
I feel stressed but hopeful,Medium
I feel mentally exhausted every week,High
I feel extreme pressure during exams,High
I feel anxious due to workload,High
I feel stressed by academic competition,High
I feel emotionally drained after exams,High
I feel pressure to score high marks,High
I feel restless and stressed,High
I feel constant exam anxiety,High
I feel mentally weak due to stress,High
I feel overwhelmed by expectations,High
I feel happy with my studies,Low
I feel calm during preparation,Low
I feel relaxed after exams,Low
I feel peaceful while studying,Low
I feel confident about results,Low
I feel positive energy,Low
I feel motivated and focused,Low
I feel stress free after revision,Low
I feel balanced academically,Low
I feel emotionally stable,Low
I feel worried but calm,Medium
I feel anxious but coping,Medium
I feel stress but staying positive,Medium
I feel workload pressure but manageable,Medium
I feel tired but optimistic,Medium
I feel exam pressure but confident,Medium
I feel nervous but calm later,Medium
I feel pressure but relaxed afterward,Medium
I feel anxious occasionally,Medium
I feel stressed but okay now,Medium
